state,caseid_wd_count,caseid_count,Total Children Under 18
Alabama,31918,31931,1124750
Alaska,3570,3631,181019
Arizona,102948,121843,1615693
Arkansas,22122,22734,704793
California,225691,241763,8936181
Colorado,35612,36003,1260965
Connecticut,1144,32233,738511
D.C.,2989,5109,208446
Delaware,728,1139,126860
Florida,47238,52738,4282995
Georgia,13280,13280,2534740
Hawaii,1670,1845,309553
Idaho,1302,3182,462389
Illinois,10855,10874,2859985
Indiana,56125,56153,1594263
Iowa,13291,73240,741640
Kansas,38220,39700,711338
Kentucky,50180,50776,1020754
Louisiana,2961,5644,1096071
Massachusetts,619,2103,1385886
Michigan,52394,58054,2178387
Minnesota,77620,94696,1329576
Mississippi,33233,33355,699669
Missouri,18546,19807,1390790
Montana,23827,24193,234176
Nebraska,2346,3429,487195
Nevada,3367,3981,700974
New Jersey,66800,66801,2047059
New York,7004,7322,4211897
North Carolina,10324,10469,2305587
North Dakota,1765,2237,187338
Ohio,147451,153620,2625734
Oklahoma,25528,29191,961619
Oregon,46106,46114,873064
Pennsylvania,168762,187955,2700980
Puerto Rico,328,345,567614
Rhode Island,6273,6927,212350
South Carolina,33076,35054,1114257
South Dakota,5176,5445,220094
Tennessee,8415,15655,1540917
Texas,65838,92522,7486091
Utah,19553,20772,949355
Vermont,9266,10516,118351
Virginia,33242,35737,1898856
Washington,56284,66842,1693011
Wisconsin,12701,13935,1289310
Wyoming,3777,3879,133739
