,reporting_state,CASEID
0,Alabama,31918
1,Alaska,3570
2,Arizona,102948
3,Arkansas,22122
4,California,225691
5,Colorado,35612
6,Connecticut,1144
7,D.C.,2989
8,Delaware,728
9,Florida,47238
10,Georgia,13280
11,Hawaii,1670
12,Idaho,1302
13,Illinois,10855
14,Indiana,56125
15,Iowa,13291
16,Kansas,38220
17,Kentucky,50180
18,Louisiana,2961
19,Massachusetts,619
20,Michigan,52394
21,Minnesota,77620
22,Mississippi,33233
23,Missouri,18546
24,Montana,23827
25,Nebraska,2346
26,Nevada,3367
27,New Jersey,66800
28,New York,7004
29,North Carolina,10324
30,North Dakota,1765
31,Ohio,147451
32,Oklahoma,25528
33,Oregon,46106
34,Other,36502
35,Pennsylvania,168762
36,Puerto Rico,328
37,Rhode Island,6273
38,South Carolina,33076
39,South Dakota,5176
40,Tennessee,8415
41,Texas,65838
42,Utah,19553
43,Vermont,9266
44,Virginia,33242
45,Washington,56284
46,Wisconsin,12701
47,Wyoming,3777
